Chem,1,SCA,B
Chem,2,MCA,ABC
Chem,3,LCT,A
Chem,4,,B
Chem,5,,B
Chem,6,ART,A
Chem,7,,B
Chem,8,NT,8
Chem,9,,2
Chem,10,,3
Chem,11,SCA,B
Chem,12,,A
Chem,13,,A
Chem,14,MCA,ABCD
Chem,15,SUB,4.78
Chem,16,MMT,ATBRSCPDQ
Chem,17,SCA,A
Chem,18,,B
Chem,19,,A
Chem,20,MCA,ACD
Chem,21,,ABCD
Chem,22,NT,4
Chem,23,ART,A
Chem,24,SUB,
Chem,25,SCA,A
Chem,26,,B
Chem,27,MCA,ABD
Chem,28,LCT,B
Chem,29,,A
Chem,30,,D
Chem,31,NT,6
Chem,32,,3
Chem,33,,4
Chem,34,ART,A
Chem,35,SCA,A
Chem,36,,C
Chem,37,,D
Chem,38,MCA,AD
Chem,39,LCT,A
Chem,40,,A
Chem,41,,D
Chem,42,ART,D
Chem,43,,B
Chem,44,MMT,ARSTBPQCSDQ
Chem,45,SCA,B
Chem,46,,A
Chem,47,NT,4
Chem,48,,5
Chem,49,,4
Chem,50,,7
Chem,51,SCA,C
Chem,52,,C
Chem,53,MCA,ACD
Chem,54,NT,5
Chem,55,ART,C
Chem,56,MMT,AQSBPRCQSDRP
Chem,57,SCA,B
Chem,58,MCA,AB
Chem,59,,CD
Chem,60,LCT,A
Chem,61,,D
Chem,62,ART,B
Chem,63,NT,2
Chem,64,,2
Chem,65,,0
Chem,66,SUB,310.1
Chem,67,SCA,B
Chem,68,,A
Chem,69,MCA,ACD
Chem,70,,ABC
Chem,71,ART,B
Chem,72,,A
Chem,73,NT,4
Chem,74,,4
Chem,75,,2
Chem,76,MMT,APQBSCRSTDP
Chem,77,SCA,A
Chem,78,,A
Chem,79,,A
Chem,80,,B
Chem,81,MCA,ABC
Chem,82,ART,A
Chem,83,NT,5
Chem,84,SUB,7.4
Chem,85,SCA,C
Chem,86,MCA,ABCD
Chem,87,,ABD
Chem,88,ART,A
Chem,89,SCA,A
Chem,90,,B
Chem,91,,A
Chem,92,MCA,BCD
Chem,93,,AC
Chem,94,ART,B
Chem,95,MMT,APSBQRTCQRDPST
Chem,96,SCA,B
Chem,97,,D
Chem,98,MCA,BCD
Chem,99,,ABD
Chem,100,,BCD
Chem,101,ART,C
Chem,102,SCA,A
Chem,103,,C
Chem,104,MCA,BCD
Chem,105,,AD
Chem,106,LCT,D
Chem,107,,C
Chem,108,,D
Chem,109,SCA,C
Chem,110,,B
Chem,111,MCA,AC
Chem,112,MMT,APSBPQCQRTDQRT
Chem,113,,AQRTBPTCSTDPT
Chem,114,ART,C
Chem,115,,D
Chem,116,SCA,D
Chem,117,,C
Chem,118,MCA,ACD
Chem,119,,ABD
Chem,120,LCT,B
Chem,121,,B
Chem,122,,A
Chem,123,MMT,APSBPSTCQSDRST
Chem,124,SCA,B
Chem,125,,C
Chem,126,MCA,BC
Chem,127,,BD
Chem,128,MMT,APSTBQSCQRSDPRS
Chem,129,LCT,C
Chem,130,,D
Chem,131,,C
Chem,132,SCA,A
Chem,133,,D
Chem,134,MCA,ABC
Chem,135,,BC
Chem,136,LCT,C
Chem,137,,D
Chem,138,,B
Chem,139,SCA,B
Chem,140,,C
Chem,141,MCA,AC
Chem,142,,BCD
Chem,143,ART,A
Chem,144,LCT,B
Chem,145,,B
Chem,146,,A
Chem,147,SCA,C
Chem,148,,D
Chem,149,MCA,ACD
Chem,150,,ABCD
Chem,151,LCT,A
Chem,152,,C
Chem,153,,D
Chem,154,SCA,B
Chem,155,,C
Chem,156,MCA,ACD
Chem,157,,ABC
Chem,158,LCT,B
Chem,159,,B
Chem,160,,D
Chem,161,ART,C
Chem,162,NT,3
Chem,163,,8
Chem,164,,4
Chem,165,,2
Chem,166,,6
Chem,167,,6
Chem,168,,3
Chem,169,SCA,A
Chem,170,,B
Chem,171,,B
Chem,172,,C
Chem,173,MCA,ACD
Chem,174,,AD
Chem,175,,ABC
Chem,176,,ABD
Chem,177,MMT,ARBSTCPRSDQRS
Chem,178,ART,C
Chem,179,SCA,B
Chem,180,,D
Chem,181,,C
Chem,182,,B
Chem,183,MCA,ABC
Chem,184,LCT,A
Chem,185,,C
Chem,186,,B
Chem,187,ART,A
Chem,188,SCA,B
Chem,189,,B
Chem,190,,C
Chem,191,ART,C
Chem,192,MMT,APQBRCSTDT
Chem,193,SCA,B
Chem,194,,D
Chem,195,MCA,ABC
Chem,196,LCT,B
Chem,197,,C
Chem,198,,D
Chem,199,MMT,APQTBQTCTDRS
Chem,200,MCA,ABCD
Chem,201,ART,D
Chem,202,SCA,A
Chem,203,,C
Chem,204,,B
Chem,205,MCA,BC
Chem,206,LCT,B
Chem,207,SCA,C
Chem,208,SCA,D
Chem,209,MMT,AQTBTCPRDPS
Chem,210,ART,A
Chem,211,SCA,C
Chem,212,,B
Chem,213,MCA,ABC
Chem,214,,AB
Chem,215,LCT,C
Chem,216,,A
Chem,217,,B
Chem,218,MMT,ARSBSCRTDPQ
Chem,219,ART,D
Chem,220,SCA,C
Chem,221,,D
Chem,222,MCA,ACD
Chem,223,,ABCD
Chem,224,LCT,A
Chem,225,,A
Chem,226,,B
Chem,227,MMT,AQBSCRTDP
Chem,228,ART,B
Chem,229,SCA,B
Chem,230,,C
Chem,231,MCA,AD
Chem,232,,ABC
